,RXN Smiles,Reaction_Type,Exp_Name,Yield (Exp),Yield (Pred),CF (Exp),CF (Pred)
38,FC(F)(F)c1ccccc1Br.CC(N)=O>>CC(=O)Nc1ccccc1C(F)(F)F,Buchwald,t-BuXPhos_Cs2CO3_3amine,0.3017476073472357,0.2379632808260591,0.2662169755183974,0.3375745
39,Brc1ccccn1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1ccccn1,Buchwald,BrettPhos,0.2560102522043501,0.3109509929595253,0.3406896260699628,0.28049445
40,CC(=O)c1ccc(Br)cc1.CC(N)=O>>CC(=O)Nc1ccc(C(C)=O)cc1,Buchwald,t-BuXPhos_3amine,0.3129538930019312,0.344662325568553,0.7254916020630485,0.65874743
41,CCOc1ccc(Br)cc1.CC(N)=O>>CCOc1ccc(NC(C)=O)cc1,Buchwald,XantPhos_Cs2CO3_3amine,0.3169206607348588,0.3011251545486504,0.4852332710658842,0.51068616
42,COc1ccccc1Br.CC(N)=O>>COc1ccccc1NC(C)=O,Buchwald,t-BuXPhos_3amine,0.2547763987421242,0.273402735308315,0.4860936908946384,0.45297718
43,Brc1ccncc1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1ccncc1,Buchwald,BrettPhos,0.3271863379656257,0.3826609539239455,0.4462328812076657,0.38154224
44,CCOc1ccc(Br)cc1.CC(N)=O>>CCOc1ccc(NC(C)=O)cc1,Buchwald,t-BuXPhos_3amine,0.2533516696173741,0.2407244781447567,0.4852332710658842,0.51068616
45,Cc1ccc(I)cc1C.CC(N)=O>>CC(=O)Nc1ccc(C)c(C)c1,Buchwald,XantPhos_Cs2CO3_3amine,0.3426575784114658,0.3720201141138701,0.5102959080036781,0.47001964
46,Cc1ccc(I)cc1C.CC(N)=O>>CC(=O)Nc1ccc(C)c(C)c1,Buchwald,t-BuXPhos_3amine,0.355602247301986,0.3860740195320509,0.5102959080036781,0.47001964
47,O=C(O)c1cn(C2CC2)c2cc(Cl)c(F)cc2c1=O.CCN1CCNCC1>>CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,Buchwald,XantPhos,0.3584542549971778,0.3709610000049665,1.17349327675524,1.1339297
48,O=C(O)c1ccc(Br)cc1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1ccc(C(=O)O)cc1,Buchwald,RuPhos,0.2368447997191002,0.2475385846928355,0.7300089965667225,0.6984722
49,Brc1ccccn1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1ccccn1,Buchwald,XantPhos,0.3665181365730116,0.4451742753414479,0.3406896260699628,0.28049445
50,FC(F)(F)Oc1ccc(Br)cc1.CC(N)=O>>CC(=O)Nc1ccc(OC(F)(F)F)cc1,Buchwald,XantPhos_3amine,0.3769522817279118,0.3709885766383026,0.4457680518414091,0.45293385
51,Brc1ccccn1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1ccccn1,Buchwald,RuPhos_Cs2CO3,0.384840551641578,0.4674287480038928,0.3406896260699628,0.28049445
52,FC(F)(F)c1ccccc1Br.CC(N)=O>>CC(=O)Nc1ccccc1C(F)(F)F,Buchwald,BrettPhos_3amine,0.3937225608297996,0.3104962890475592,0.2662169755183974,0.3375745
53,O=C(O)c1ccc(Br)cc1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1ccc(C(=O)O)cc1,Buchwald,BrettPhos_Cs2CO3,0.3950052589137906,0.4128401504010791,0.7300089965667225,0.6984722
54,CC(=O)c1ccc(Br)cc1.CC(N)=O>>CC(=O)Nc1ccc(C(C)=O)cc1,Buchwald,BrettPhos_3amine,0.4058574948536148,0.4469789037735687,0.7254916020630485,0.65874743
55,FC(F)(F)c1cncc(Cl)c1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1cncc(C(F)(F)F)c1,Buchwald,BrettPhos_Cs2CO3,0.4134533356909621,0.4744662496339993,0.3830152378365046,0.33376226
56,Cc1ccc(I)cc1C.CC(N)=O>>CC(=O)Nc1ccc(C)c(C)c1,Buchwald,BrettPhos_3amine,0.225155966051814,0.2444497173310196,0.5102959080036781,0.47001964
57,Cc1cccc(Br)n1.CC(N)=O>>CC(=O)Nc1cccc(C)n1,Buchwald,BrettPhos_3amine,0.4151050150725214,0.458587957183662,0.3795976436719233,0.3436045
58,CCOc1ccc(Br)cc1.CC(N)=O>>CCOc1ccc(NC(C)=O)cc1,Buchwald,t-BuXPhos_Cs2CO3_3amine,0.4157487608365194,0.3950276058683498,0.4852332710658842,0.51068616
59,Brc1ccncc1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1ccncc1,Buchwald,BrettPhos_Cs2CO3,0.4176359655243311,0.4884463634825687,0.4462328812076657,0.38154224
60,CC(=O)c1ccc(Br)cc1.CC(N)=O>>CC(=O)Nc1ccc(C(C)=O)cc1,Buchwald,RuPhos_3amine,0.0013204448010653,0.0014542320325674,0.7254916020630485,0.65874743
61,FC(F)(F)c1cccc(Br)c1.CC(N)=O>>CC(=O)Nc1cccc(C(F)(F)F)c1,Buchwald,RuPhos_Cs2CO3_3amine,0.2167019279613472,0.2471370572913567,0.4786256697056371,0.4196826
62,O=C(O)c1cn(C2CC2)c2cc(Cl)c(F)cc2c1=O.CCN1CCNCC1>>CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,Buchwald,RuPhos_Cs2CO3,0.4474358638460824,0.463047245712666,1.17349327675524,1.1339297
63,Fc1cccc(Br)c1.CC(N)=O>>CC(=O)Nc1cccc(F)c1,Buchwald,RuPhos_Cs2CO3_3amine,0.1853609013124839,0.1912326166976281,0.4141769035054924,0.40145972
64,FC(F)(F)c1ccccc1Br.CC(N)=O>>CC(=O)Nc1ccccc1C(F)(F)F,Buchwald,RuPhos_Cs2CO3_3amine,0.1043120308932192,0.082262236705709,0.2662169755183974,0.3375745
65,FC(F)(F)c1cccc(Br)c1.CC(N)=O>>CC(=O)Nc1cccc(C(F)(F)F)c1,Buchwald,BrettPhos_3amine,0.612334123202405,0.6983345958708685,0.4786256697056371,0.4196826
66,FC(F)(F)c1cccc(Br)c1.CC(N)=O>>CC(=O)Nc1cccc(C(F)(F)F)c1,Buchwald,BrettPhos_Cs2CO3_3amine,0.6310713938057462,0.7197034593698936,0.4786256697056371,0.4196826
67,CCOc1ccc(Br)cc1.CC(N)=O>>CCOc1ccc(NC(C)=O)cc1,Buchwald,XantPhos_3amine,0.0399928898960713,0.0379996214916291,0.4852332710658842,0.51068616
68,COc1ccccc1Br.CC(N)=O>>COc1ccccc1NC(C)=O,Buchwald,RuPhos_Cs2CO3_3amine,0.0335714879599755,0.036025851224617,0.4860936908946384,0.45297718
69,CC(=O)c1cccc(Br)c1.CC(N)=O>>CC(=O)Nc1cccc(C(C)=O)c1,Buchwald,RuPhos_3amine,0.0293943248780321,0.0327500725150522,0.6036132424495723,0.5417638
70,COc1ccccc1Br.CC(N)=O>>COc1ccccc1NC(C)=O,Buchwald,RuPhos_3amine,0.0233292345938372,0.0250348014262511,0.4860936908946384,0.45297718
71,FC(F)(F)c1ccc(Br)cc1.CC(N)=O>>CC(=O)Nc1ccc(C(F)(F)F)cc1,Buchwald,t-BuXPhos_3amine,0.8512700509338055,0.9657151360923488,0.4726941331161578,0.416676
72,O=C(O)c1cn(C2CC2)c2cc(Cl)c(F)cc2c1=O.CCN1CCNCC1>>CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,Buchwald,XantPhos_Cs2CO3,0.0172936575089751,0.0178970465375653,1.17349327675524,1.1339297
73,O=C(O)c1ccc(Br)cc1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1ccc(C(=O)O)cc1,Buchwald,BrettPhos,0.0151439509994137,0.0158277158776487,0.7300089965667225,0.6984722
74,Cc1cccc(Br)n1.CC(N)=O>>CC(=O)Nc1cccc(C)n1,Buchwald,t-BuXPhos_3amine,0.8734033597731252,0.9648938172566504,0.3795976436719233,0.3436045
75,COc1ccccc1Br.CC(N)=O>>COc1ccccc1NC(C)=O,Buchwald,BrettPhos_Cs2CO3_3amine,0.8789073902882288,0.943163047181279,0.4860936908946384,0.45297718
76,N#Cc1ccc(Br)cc1.CC(N)=O>>CC(=O)Nc1ccc(C#N)cc1,Buchwald,RuPhos_Cs2CO3_3amine,0.8869804279187619,0.997313378615079,0.6640684690457708,0.59060246
77,COc1cccc(Br)c1.CC(C)(C)OC(N)=O>>COc1cccc(NC(=O)OC(C)(C)C)c1,Buchwald,t-BuXPhos_Cs2CO3,0.0140348001142407,0.0144020807184176,0.547366082020504,0.5334072
78,Cc1cccc(C)c1Br.CC(N)=O>>CC(=O)Nc1c(C)cccc1C,Buchwald,XantPhos_3amine,0.0112941327870639,0.0116326596605736,0.4166825010366778,0.40455645
79,FC(F)(F)c1cncc(Cl)c1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1cncc(C(F)(F)F)c1,Buchwald,XantPhos,0.0076578578125942,0.0087879205775421,0.3830152378365046,0.33376226
80,FC(F)(F)Oc1ccc(Br)cc1.CC(N)=O>>CC(=O)Nc1ccc(OC(F)(F)F)cc1,Buchwald,BrettPhos_3amine,0.6303223508189282,0.6203501161518713,0.4457680518414091,0.45293385
81,Brc1nccs1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1nccs1,Buchwald,BrettPhos,0.8966566336862116,0.9761073651175484,0.2191823316210892,0.2013419
82,FC(F)(F)c1cccc(Br)c1.CC(N)=O>>CC(=O)Nc1cccc(C(F)(F)F)c1,Buchwald,t-BuXPhos_Cs2CO3_3amine,0.0066190436827227,0.0075486683169833,0.4786256697056371,0.4196826
83,FC(F)(F)c1ccc(Br)cc1.CC(N)=O>>CC(=O)Nc1ccc(C(F)(F)F)cc1,Buchwald,XantPhos_Cs2CO3_3amine,0.0060929759428837,0.0069121180586992,0.4726941331161578,0.416676
84,FC(F)(F)c1cccc(Br)c1.CC(N)=O>>CC(=O)Nc1cccc(C(F)(F)F)c1,Buchwald,XantPhos_Cs2CO3_3amine,0.0050705113968755,0.0057826493625365,0.4786256697056371,0.4196826
85,Brc1ccccn1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1ccccn1,Buchwald,RuPhos,0.0046821486310995,0.0056869549304704,0.3406896260699628,0.28049445
86,COc1cccc(Br)c1.CC(C)(C)OC(N)=O>>COc1cccc(NC(=O)OC(C)(C)C)c1,Buchwald,XantPhos_Cs2CO3,0.0044180470500488,0.0045336641572834,0.547366082020504,0.5334072
87,FC(F)(F)Oc1ccc(Br)cc1.CC(N)=O>>CC(=O)Nc1ccc(OC(F)(F)F)cc1,Buchwald,t-BuXPhos_Cs2CO3_3amine,0.9728169029092384,0.9574261136864118,0.4457680518414091,0.45293385
88,FC(F)(F)c1ccccc1Br.CC(N)=O>>CC(=O)Nc1ccccc1C(F)(F)F,Buchwald,XantPhos_Cs2CO3_3amine,0.9891026720714492,0.7800231424837507,0.2662169755183974,0.3375745
89,COc1cccc(Br)c1.CC(C)(C)OC(N)=O>>COc1cccc(NC(=O)OC(C)(C)C)c1,Buchwald,t-BuXPhos,0.99004914907023,1.0,0.547366082020504,0.5334072
90,CC(=O)c1cc(Br)ccc1O.CC(N)=O>>CC(=O)Nc1ccc(O)c(C(C)=O)c1,Buchwald,t-BuXPhos_Cs2CO3_3amine,0.0037305855398219,0.0037458006332833,0.6597928165875523,0.6571128
91,CC(=O)c1cccc(Br)c1.CC(N)=O>>CC(=O)Nc1cccc(C(C)=O)c1,Buchwald,BrettPhos_Cs2CO3_3amine,1.0,1.0,0.6036132424495723,0.5417638
92,Cc1cccc(Br)n1.CC(N)=O>>CC(=O)Nc1cccc(C)n1,Buchwald,RuPhos_Cs2CO3_3amine,1.0,1.0,0.3795976436719233,0.3436045
93,FC(F)(F)c1cncc(Cl)c1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1cncc(C(F)(F)F)c1,Buchwald,t-BuXPhos_Cs2CO3,0.0029580547768098,0.0033945720955893,0.3830152378365046,0.33376226
94,O=[N+]([O-])c1cnc(Cl)s1.CC(N)=O>>CC(=O)Nc1ncc([N+](=O)[O-])s1,Buchwald,XantPhos_Cs2CO3_3amine,0.0017949185936398,0.0017079038652314,0.5480873057778214,0.5760115
95,COc1cccc(Br)c1.CC(C)(C)OC(N)=O>>COc1cccc(NC(=O)OC(C)(C)C)c1,Buchwald,RuPhos_Cs2CO3,0.8989210529751893,0.9224451690834768,0.547366082020504,0.5334072
96,CC(=O)c1cccc(Br)c1.CC(N)=O>>CC(=O)Nc1cccc(C(C)=O)c1,Buchwald,XantPhos_Cs2CO3_3amine,0.0413055992252341,0.046021175023315,0.6036132424495723,0.5417638
97,CC(=O)c1ccc(Br)cc1.CC(N)=O>>CC(=O)Nc1ccc(C(C)=O)cc1,Buchwald,XantPhos_Cs2CO3_3amine,0.8379269176773303,0.9228255233794967,0.7254916020630485,0.65874743
98,Cc1csc(Cl)n1.CC(N)=O>>CC(=O)Nc1nc(C)cs1,Buchwald,XantPhos_3amine,0.0437283491592904,0.0635885332307074,0.2934867449159458,0.20182398
99,Cc1cccc(Br)n1.CC(N)=O>>CC(=O)Nc1cccc(C)n1,Buchwald,XantPhos_Cs2CO3_3amine,0.7215591242497993,0.7971436450102577,0.3795976436719233,0.3436045
100,Brc1ccccn1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1ccccn1,Buchwald,t-BuXPhos_Cs2CO3,0.0669532948476309,0.0813217179215331,0.3406896260699628,0.28049445
101,Cc1ccc(I)cc1C.CC(N)=O>>CC(=O)Nc1ccc(C)c(C)c1,Buchwald,RuPhos_3amine,0.0671215068669402,0.0728731894969186,0.5102959080036781,0.47001964
102,Cc1ccc(I)cc1C.CC(N)=O>>CC(=O)Nc1ccc(C)c(C)c1,Buchwald,BrettPhos_Cs2CO3_3amine,0.7046666514728899,0.7650499641901726,0.5102959080036781,0.47001964
103,Cc1csc(Cl)n1.CC(N)=O>>CC(=O)Nc1nc(C)cs1,Buchwald,BrettPhos_3amine,0.0718965097676381,0.1045498787040313,0.2934867449159458,0.20182398
104,Brc1ccncc1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1ccncc1,Buchwald,XantPhos_Cs2CO3,0.6839590472081928,0.7999246639604397,0.4462328812076657,0.38154224
105,Cc1ccc(I)cc1C.CC(N)=O>>CC(=O)Nc1ccc(C)c(C)c1,Buchwald,XantPhos_3amine,0.0605352887963912,0.0657225944056225,0.5102959080036781,0.47001964
106,FC(F)(F)c1ccc(Br)cc1.CC(N)=O>>CC(=O)Nc1ccc(C(F)(F)F)cc1,Buchwald,BrettPhos_Cs2CO3_3amine,0.6790110308845643,0.7702975446858313,0.4726941331161578,0.416676
107,O=C(O)c1cccc(Br)c1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1cccc(C(=O)O)c1,Buchwald,t-BuXPhos_Cs2CO3,0.0807883352456193,0.0950454851697892,0.6397546732819965,0.5437892
108,Cc1csc(Cl)n1.CC(N)=O>>CC(=O)Nc1nc(C)cs1,Buchwald,t-BuXPhos_3amine,0.0842668137754991,0.1225384262390049,0.2934867449159458,0.20182398
109,Cc1cccc(Br)n1.CC(N)=O>>CC(=O)Nc1cccc(C)n1,Buchwald,RuPhos_3amine,0.0860084275013762,0.0950179536172175,0.3795976436719233,0.3436045
110,FC(F)(F)c1cccc(Br)c1.CC(N)=O>>CC(=O)Nc1cccc(C(F)(F)F)c1,Buchwald,RuPhos_3amine,0.0945593280580906,0.1078398992365811,0.4786256697056371,0.4196826
111,FC(F)(F)c1ccc(Br)cc1.CC(N)=O>>CC(=O)Nc1ccc(C(F)(F)F)cc1,Buchwald,RuPhos_Cs2CO3_3amine,0.6463178937853876,0.7332091291960773,0.4726941331161578,0.416676
112,FC(F)(F)Oc1ccc(Br)cc1.CC(N)=O>>CC(=O)Nc1ccc(OC(F)(F)F)cc1,Buchwald,RuPhos_Cs2CO3_3amine,0.1007566898055899,0.0991626334410777,0.4457680518414091,0.45293385
113,FC(F)(F)c1ccc(Br)cc1.CC(N)=O>>CC(=O)Nc1ccc(C(F)(F)F)cc1,Buchwald,BrettPhos_3amine,0.6766328062233657,0.7675995905526769,0.4726941331161578,0.416676
114,Cc1ccc(O)c(Br)c1.CC(N)=O>>CC(=O)Nc1cc(C)ccc1O,Buchwald,t-BuXPhos_Cs2CO3_3amine,0.0553316140206277,0.0558031533795714,0.4674712753851868,0.46352106
115,COc1ccccc1Br.CC(N)=O>>COc1ccccc1NC(C)=O,Buchwald,XantPhos_Cs2CO3_3amine,0.7320322832173164,0.7855501119951841,0.4860936908946384,0.45297718
116,COc1ccccc1Br.CC(N)=O>>COc1ccccc1NC(C)=O,Buchwald,BrettPhos_3amine,0.7745044359694351,0.831127342830506,0.4860936908946384,0.45297718
117,Brc1ccncc1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1ccncc1,Buchwald,RuPhos,0.7972779503820814,0.9324568468619492,0.4462328812076657,0.38154224
118,CC(=O)c1ccc(Br)cc1.CC(N)=O>>CC(=O)Nc1ccc(C(C)=O)cc1,Buchwald,t-BuXPhos_Cs2CO3_3amine,0.7933296799154521,0.8737097014496261,0.7254916020630485,0.65874743
119,CC(=O)c1cccc(Br)c1.CC(N)=O>>CC(=O)Nc1cccc(C(C)=O)c1,Buchwald,t-BuXPhos_3amine,0.7748187086248364,0.8632744245283477,0.6036132424495723,0.5417638
120,CC(=O)c1ccc(Br)cc1.CC(N)=O>>CC(=O)Nc1ccc(C(C)=O)cc1,Buchwald,BrettPhos_Cs2CO3_3amine,0.7708610604036573,0.8489645654202672,0.7254916020630485,0.65874743
121,N#Cc1ccc(Br)cc1.CC(N)=O>>CC(=O)Nc1ccc(C#N)cc1,Buchwald,BrettPhos_Cs2CO3_3amine,0.7701673848551761,0.8659697694698233,0.6640684690457708,0.59060246
122,CC(=O)c1cccc(Br)c1.CC(N)=O>>CC(=O)Nc1cccc(C(C)=O)c1,Buchwald,BrettPhos_3amine,0.2801739659421459,0.3121594981176969,0.6036132424495723,0.5417638
123,CCOc1ccc(Br)cc1.CC(N)=O>>CCOc1ccc(NC(C)=O)cc1,Buchwald,BrettPhos_Cs2CO3_3amine,0.761022808281848,0.7230929981893519,0.4852332710658842,0.51068616
124,Brc1ccncc1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1ccncc1,Buchwald,RuPhos_Cs2CO3,0.7435758776818592,0.8696495594460577,0.4462328812076657,0.38154224
125,CNCc1ccccc1.C#CCCl>>C#CCN(C)Cc1ccccc1,SN2,DMSO_DIPEA,0.1544885266732122,0.1248376785810329,0.1325681644471544,0.16405512
