SMILES,CF
CC(C)(C)c1ccc(Cl)c([N+](=O)[O-])c1,0.47266
FC(F)(F)c1cccc(C(F)(F)F)c1Br,0.34863
O=C(O)c1csc(Br)n1,0.17241
O=Cc1cnc(Br)s1,0.28943
Cc1nc(Br)sc1C(=O)O,0.31976
FC(F)(F)c1csc(Br)n1,0.11867
CN(C)c1ccc(Cl)nn1,0.5299
FC(F)(F)c1ccc(Cl)nn1,0.14944
Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1,0.98921
O=c1[nH]ccc(Cl)c1[N+](=O)[O-],0.37613
CCOC(=O)c1cc(Cl)n[nH]c1=O,0.4612
COC(=O)c1coc(Cl)n1,0.18284
COc1nccnc1Cl,0.30362
Nc1cc(Cl)c[nH]c1=O,0.40929
Nc1nc(-c2cc(Cl)cs2)cs1,0.61325
CCOCn1cc([N+](=O)[O-])nc1Br,0.44335
Cn1c(=O)cc(Cl)n(Cc2ccccc2C#N)c1=O,0.74366
COC(=O)c1cc([N+](=O)[O-])c(Cl)s1,0.52787
COC(=O)c1nc(N)sc1Cl,0.31408
COC(=O)c1cc(OC)c(Cl)c([N+](=O)[O-])c1,0.70096
CN(C)C(=N)N(C)C,0.07894
c1c[nH]nn1,0.05754
COC(=O)C(NCc1ccc(-c2ccccc2C#N)cc1)C(C)C,0.78628
COC(=O)c1ccccc1CS(N)(=O)=O,0.41831
N#CN=C1NCCS1,0.30899
CCOC(=O)c1nn[nH]n1,0.09829
O=C1CC2(CCCC2)CC(=O)N1,0.1509
NC1c2ccccc2CC1O,0.22713
Cc1[nH]nc2cc([N+](=O)[O-])ccc12,0.73089
c1ccc2c(c1)[nH]c1cccc(OCC3CO3)c12,0.94629
COc1ncccc1N,0.38713
CC(C)(N)c1ccccc1,0.09775
Cc1nnc(-c2ccccc2)c(=O)n1N,0.6826
CC(C)(C)OC(=O)CN1C(=O)C(N)CCc2ccccc21,0.47458
NC1CCCc2ccccc21,0.18707
FC(F)(F)c1nc2ccccc2[nH]1,0.43383
Fc1ccc(-c2cc[nH]n2)cc1,0.50665
CCOC(=N)c1ccccc1,0.2699
CN1CCNC(c2ccccc2)C1,0.17162
